Card   1:  9 32  7 82 10 36 31 12 85 95 |  7 69 23  9 32 22 47 10 95 14 24 71 57 12 31 59 36 68  2 82 38 80 85 21 92
Card   2: 16 35 95 22 59 82 76 60 19 88 | 63 91 16 35 26 82 95 51 53 60 94 59 56 73 28 76 12 44 22 62  8  7 19 38 88
Card   3:  1 88 48 52 70 19 11 78 94 28 | 19 92 70 18 34 78 83  8 82 87  3 97 66 31 63 17 69  4 75 94 52 54 77 24 45
Card   4: 72 14  2 92 65 62 16 28 55 91 | 73  8 35  4  9 86 83 51 47 53  3  7 15 52 96 54 49 88 85 30  6 59 81 33 99
Card   5: 60 61 24 41 30 77 94 50 38 75 | 47 93 82 98 96  5  9 53 17  6 10 21  2 91 80  4 14 71 29 69 62  1  7 87 88
Card   6: 21  4 16 41 58 68 66 22 64 94 | 72 69 60 62 34 21 75 66 38 25 63 17 81 23 71 73 78 64 89 24 26 56 68 79 51
Card   7: 10 90  4 56 14 26  7 23 57 19 | 62 10 60 51 46 34 23 49 44  8 53 50  2 56 21 81 69 89 87 91 16 63 38 36 22
Card   8: 36 27 38 47 16 57 96 31 43 76 | 62 99 87 68 76 44 49 63 47 16 58 81 84 48 45 88 64 34 54 42 72 24 26 12 50
Card   9: 92  9 35  2 26 97 79 88 43 45 | 89 96 62  1 39 98 72 66 28 78 64 68 42 63 15 25 22 60 31 91 69 94 21 81 29
Card  10: 40 17  3  9 47 23 82 90 13 87 | 51  2 36 85 34 27 11 53 71 38  8 57 58 17 24 20 54 23 31 37 35 70  9 83 99
Card  11:  2 21  9 53 45 19 91 74 23 25 | 29 26 91 39 58 18 96 53 31 63 46 21 32 54 22 66 17 25 94 74  4 41 77 35 23
Card  12: 13 84 68 67 99 97 73 49 86 65 | 97 49 35 40 42 80 45 11 94 53 99 29 72 73 23 77 62  3 38 90 83 68 59 20 95
Card  13: 70  9  7 11 95 46 69 91 22 71 | 30 56 31 90 91 69 17 71 25 46 66  9 62 89 70 98 36 57 45 94 21 40 75 95 24
